volume_id,seg_liver,seg_spleen
KORA2459605,1571760,189108
KORA2460249,1026972,55812
KORA2452604,1498140,165948
KORA2461599,1427508,76524
KORA2455753,1699080,298512
KORA2461956,1618272,220488
KORA2454859,1303740,167760
KORA2459961,1322988,178908
KORA2460447,1338540,258012
KORA2452520,1010220,126828
KORA2459890,1158060,201348
KORA2457401,2163564,296568
KORA2457826,1087968,98628
KORA2456619,2192304,222576
KORA2461392,2259780,508716
KORA2462161,2058324,248436
KORA2460360,1535328,162792
KORA2458068,2483124,181836
KORA2453732,1320984,142692
KORA2453787,1461996,122448
KORA2456793,1335024,106956
KORA2461885,2276208,414684
KORA2455296,2239092,182892
KORA2455946,1606476,272676
KORA2453765,1683816,194904
KORA2453194,1394940,129636
KORA2459972,1755972,283716
KORA2452885,1329492,257040
KORA2459244,2464992,161424
KORA2453273,1150416,177300
KORA2456672,2278896,335016
KORA2462345,1953828,104448
KORA2452460,1903368,194748
KORA2459780,1528356,137424
KORA2460830,1646472,220308
KORA2459807,1507776,240384
KORA2460878,1856148,211500
KORA2461588,2020872,363984
KORA2460785,1712916,200028
KORA2452118,1748796,191088
KORA2452437,1227528,200700
KORA2453822,1911204,212928
KORA2452913,1395444,292512
KORA2452094,3312168,241224
KORA2453306,1880736,226644
KORA2461206,1217748,153828
KORA2461930,1027416,148824
KORA2462026,1663980,355020
KORA2453172,1436916,191340
KORA2452252,1446768,177708
KORA2461008,1508580,249168
KORA2456816,1615884,214236
KORA2462119,1925328,210000
KORA2455525,2099568,156588
KORA2458169,1252260,205524
KORA2453374,1843632,191952
KORA2459774,1943352,177324
KORA2459526,2024424,250020
KORA2459994,1121544,151332
KORA2452353,2126928,208272
KORA2461349,1858920,295752
KORA2452409,1324752,220260
KORA2452801,1390800,279000
KORA2460472,1499700,230304
KORA2460450,2177868,380892
KORA2459310,1568232,199848
KORA2460227,1651572,258732
KORA2453833,1753884,82884
KORA2461050,1616268,262848
KORA2459477,1459740,234576
KORA2453251,1581492,222984
KORA2453363,1488900,306144
KORA2452834,1777320,233880
KORA2460889,1642716,170280
KORA2456917,1288656,173340
KORA2452392,1734912,321480
KORA2461184,1599180,140580
KORA2453380,1609128,226512
KORA2460779,1403676,269268
KORA2453207,1225992,166356
KORA2460238,2066340,424884
