volume_id,seg_liver,seg_spleen
KORA2459455,1570106.0,161119.0
KORA2459477,1478846.0,233990.0
KORA2459499,1950216.0,253727.0
KORA2459526,2031624.0,251396.0
KORA2459548,1727485.0,320792.0
KORA2459560,1804158.0,153601.0
KORA2459582,1218819.0,189213.0
KORA2459605,1589084.0,189765.0
KORA2459638,1371774.0,37296.0
KORA2459670,1238137.0,161930.0
KORA2459681,1614956.0,187776.0
KORA2459692,907436.0,119089.0
KORA2459745,2366668.0,270865.0
KORA2459752,2286386.0,461055.0
KORA2459763,1909446.0,354072.0
KORA2459774,1957389.0,177623.0
KORA2459780,1543550.0,136864.0
KORA2459807,1513450.0,241701.0
KORA2459818,1850876.0,248667.0
KORA2459873,1794444.0,170662.0
KORA2459890,1177366.0,201969.0
KORA2459908,2052174.0,170770.0
KORA2459925,1404557.0,134784.0
KORA2459936,1517644.0,406932.0
KORA2459947,1108386.0,119493.0
KORA2459961,1341122.0,178531.0
KORA2459972,1776095.0,284348.0
KORA2459983,1381303.0,143015.0
KORA2459994,1133733.0,151060.0
KORA2460145,1780091.0,252301.0
KORA2460152,1833425.0,240279.0
KORA2460174,1226156.0,121328.0
KORA2460191,1473777.0,176138.0
KORA2460205,1635728.0,234175.0
KORA2460216,1895814.0,278163.0
KORA2460227,1664285.0,258624.0
KORA2460238,2083280.0,423252.0
KORA2460249,1038700.0,55243.0
KORA2460253,2230692.0,302345.0
KORA2460270,1570458.0,137553.0
KORA2460309,1174116.0,46705.0
KORA2460315,1889469.0,119847.0
KORA2460326,1617761.0,277698.0
KORA2460348,1449917.0,245678.0
KORA2460354,2336232.0,178379.0
KORA2460360,1553717.0,163705.0
KORA2460371,1816520.0,273029.0
KORA2460382,2366689.0,48294.0
KORA2460408,1666327.0,138709.0
KORA2460436,1582472.0,285181.0
KORA2460447,1352735.0,258290.0
KORA2460450,2192906.0,381465.0
KORA2460461,1290794.0,122730.0
KORA2460472,1516437.0,230223.0
KORA2460504,1311570.0,130953.0
KORA2460510,1938140.0,82255.0
KORA2460521,1411583.0,93070.0
KORA2460532,1849701.0,309041.0
KORA2460543,1160593.0,143225.0
KORA2460565,1682055.0,259062.0
KORA2460576,1596202.0,185591.0
KORA2460611,2389270.0,318254.0
KORA2460633,1702759.0,209081.0
KORA2460675,1242301.0,132227.0
KORA2460686,1316705.0,127930.0
KORA2460697,2420545.0,433726.0
KORA2460701,1430029.0,174125.0
KORA2460712,2123608.0,378868.0
KORA2460723,1048261.0,161168.0
KORA2460734,1456007.0,135653.0
KORA2460757,1520332.0,249025.0
KORA2460768,1385549.0,255925.0
KORA2460779,1418539.0,269308.0
KORA2460785,1737140.0,200039.0
KORA2460796,1991098.0,403915.0
KORA2460813,1392846.0,132961.0
KORA2460824,1562658.0,221157.0
KORA2460830,1661941.0,219895.0
KORA2460856,1670470.0,300847.0
KORA2460867,1376785.0,186734.0
KORA2460878,1869191.0,212465.0
KORA2460889,1653040.0,169155.0
KORA2460903,1761291.0,211281.0
KORA2460955,1709454.0,223858.0
KORA2460977,1927168.0,71423.0
KORA2461008,1524120.0,249140.0
KORA2461047,2091223.0,275584.0
KORA2461050,1638112.0,261323.0
KORA2461061,1731717.0,318922.0
KORA2461135,1642766.0,169797.0
KORA2461146,1983405.0,198550.0
KORA2461151,1843854.0,233523.0
KORA2461184,1612277.0,140684.0
KORA2461190,2355984.0,441430.0
KORA2461206,1231789.0,154506.0
KORA2461252,1839538.0,258895.0
KORA2461274,2343332.0,205936.0
KORA2461338,1912844.0,186081.0
KORA2461349,1874365.0,295804.0
KORA2461381,1796014.0,160017.0
KORA2461392,2276277.0,506764.0
KORA2461409,1458073.0,133539.0
KORA2461448,1217717.0,30779.0
KORA2461460,1081033.0,103402.0
KORA2461493,1511467.0,303237.0
KORA2461520,1412756.0,161061.0
KORA2461542,1651391.0,241371.0
KORA2461555,1593790.0,257786.0
KORA2461577,1331575.0,71863.0
KORA2461588,2040691.0,363063.0
KORA2461599,1440740.0,76944.0
KORA2461632,1886081.0,183859.0
KORA2461700,1829924.0,117347.0
KORA2461775,2493735.0,328699.0
KORA2461801,1418817.0,162350.0
KORA2461868,1519490.0,142016.0
KORA2461885,2288611.0,414983.0
KORA2461902,2472989.0,243333.0
KORA2461930,1040308.0,149619.0
KORA2461956,1629707.0,219743.0
KORA2461995,1593249.0,118826.0
KORA2462026,1679611.0,356551.0
KORA2462048,1599938.0,201265.0
KORA2462054,2095293.0,195501.0
KORA2462093,1641588.0,98817.0
KORA2462119,1946558.0,209860.0
KORA2462147,1646933.0,191212.0
KORA2462150,1347584.0,140529.0
KORA2462161,2077628.0,248034.0
KORA2462194,1209118.0,172635.0
KORA2462235,1574018.0,90492.0
KORA2462306,1743918.0,426860.0
KORA2462328,1348444.0,129531.0
KORA2462345,1973512.0,103927.0
KORA2462352,3558140.0,304552.0
KORA2462374,1629242.0,176611.0
KORA2462380,2164536.0,243315.0
KORA2462405,1565800.0,219448.0
KORA30081952,1808277.0,280485.0
