,0,1,2,3,4,5,6,7,8,9
KORA2453363,"(1782595, 17998, 153199)","(1784898, 17411, 151483)","(1783318, 18190, 152284)","(1785051, 17472, 151269)","(1783819, 17095, 152878)","(1783755, 18333, 151704)","(1782532, 18315, 152945)","(1783087, 17774, 152931)","(1782633, 18106, 153053)","(1782607, 19043, 152142)"
KORA2460633,"(1707280, 14889, 157895)","(1708226, 14583, 157255)","(1708153, 15007, 156904)","(1708017, 14917, 157130)","(1708469, 14772, 156823)","(1707913, 14805, 157346)","(1708279, 14627, 157158)","(1707381, 14978, 157705)","(1708247, 14736, 157081)","(1708276, 14793, 156995)"
KORA2453172,"(1297461, 9659, 93712)","(1297124, 9923, 93785)","(1297533, 9741, 93558)","(1296973, 9839, 94020)","(1297905, 9850, 93077)","(1297281, 9802, 93749)","(1297742, 10021, 93069)","(1296659, 10099, 94074)","(1297883, 9919, 93030)","(1297899, 9606, 93327)"
KORA2452129,"(1961457, 9415, 130376)","(1957185, 13647, 130416)","(1961007, 10214, 130027)","(1959234, 11798, 130216)","(1957622, 13080, 130546)","(1958155, 12266, 130827)","(1959902, 10292, 131054)","(1961057, 9175, 131016)","(1960399, 10941, 129908)","(1958688, 12365, 130195)"
KORA2453136,"(1567731, 21142, 143735)","(1568701, 20006, 143901)","(1569155, 20215, 143238)","(1568765, 20044, 143799)","(1568347, 20120, 144141)","(1569091, 19256, 144261)","(1568121, 20968, 143519)","(1568898, 19706, 144004)","(1567274, 20784, 144550)","(1568607, 20088, 143913)"
KORA2459605,"(2006615, 23207, 145154)","(2010743, 20059, 144174)","(2010941, 20478, 143557)","(2012940, 17553, 144483)","(2009849, 19784, 145343)","(2010881, 19551, 144544)","(2009878, 21271, 143827)","(2010528, 19044, 145404)","(2009550, 22088, 143338)","(2012658, 18166, 144152)"
KORA2452687,"(1707301, 21147, 188480)","(1707514, 20253, 189161)","(1707727, 20940, 188261)","(1709653, 19470, 187805)","(1707445, 20602, 188881)","(1706113, 21694, 189121)","(1707061, 21343, 188524)","(1707414, 21118, 188396)","(1708853, 19664, 188411)","(1707640, 20362, 188926)"
KORA2452812,"(1554725, 19832, 121187)","(1554719, 20118, 120907)","(1554400, 19951, 121393)","(1553898, 20209, 121637)","(1554892, 19533, 121319)","(1554421, 19749, 121574)","(1554666, 19978, 121100)","(1553635, 20441, 121668)","(1554642, 19673, 121429)","(1554894, 19683, 121167)"
KORA2460565,"(1565315, 10480, 119949)","(1564788, 10493, 120463)","(1565088, 10589, 120067)","(1565994, 10640, 119110)","(1565151, 10531, 120062)","(1564276, 10548, 120920)","(1564929, 10637, 120178)","(1564038, 10638, 121068)","(1564550, 10689, 120505)","(1564383, 10767, 120594)"
KORA2452941,"(1731601, 8960, 102639)","(1730972, 8975, 103253)","(1733831, 7399, 101970)","(1731956, 9117, 102127)","(1733403, 7632, 102165)","(1733637, 8452, 101111)","(1733257, 6865, 103078)","(1733970, 7463, 101767)","(1731322, 9106, 102772)","(1734670, 6519, 102011)"
KORA2460830,"(1486372, 18548, 117096)","(1485632, 18992, 117392)","(1485556, 19261, 117199)","(1485473, 19559, 116984)","(1485704, 19284, 117028)","(1485404, 19188, 117424)","(1485149, 19789, 117078)","(1485923, 19399, 116694)","(1486056, 18589, 117371)","(1485814, 18993, 117209)"
KORA2460824,"(2026692, 24605, 197407)","(2027114, 25383, 196207)","(2028012, 25179, 195513)","(2027886, 25482, 195336)","(2026531, 25844, 196329)","(2025988, 26044, 196672)","(2026711, 24834, 197159)","(2027424, 24894, 196386)","(2027959, 25217, 195528)","(2026805, 25536, 196363)"
KORA2460903,"(1483271, 12015, 126730)","(1484785, 11948, 125283)","(1484415, 11811, 125790)","(1484402, 11734, 125880)","(1484683, 11328, 126005)","(1484356, 11774, 125886)","(1483828, 11863, 126325)","(1483708, 11610, 126698)","(1484976, 11283, 125757)","(1485202, 11034, 125780)"
KORA2453306,"(1839893, 9864, 104035)","(1837829, 11565, 104398)","(1838148, 11258, 104386)","(1836155, 11497, 106140)","(1837269, 11135, 105388)","(1836950, 11116, 105726)","(1836989, 11254, 105549)","(1837335, 11214, 105243)","(1837279, 11606, 104907)","(1837157, 11181, 105454)"
KORA2453194,"(1773340, 10590, 169862)","(1772565, 11040, 170187)","(1771344, 11860, 170588)","(1772393, 11195, 170204)","(1772598, 10603, 170591)","(1772444, 11016, 170332)","(1771487, 11794, 170511)","(1772184, 11362, 170246)","(1771572, 11566, 170654)","(1771310, 11738, 170744)"
KORA2453578,"(1771132, 32324, 187200)","(1769615, 33178, 187863)","(1770121, 32817, 187718)","(1771041, 32670, 186945)","(1769391, 33799, 187466)","(1772040, 31131, 187485)","(1770473, 33022, 187161)","(1769813, 33588, 187255)","(1769095, 33764, 187797)","(1771494, 31998, 187164)"
KORA2460504,"(1949178, 39439, 186359)","(1949891, 38509, 186576)","(1951456, 37721, 185799)","(1951929, 37842, 185205)","(1949209, 39867, 185900)","(1951576, 37862, 185538)","(1950414, 38419, 186143)","(1949651, 38532, 186793)","(1952558, 36674, 185744)","(1950845, 39090, 185041)"
KORA2460216,"(1537984, 11024, 109872)","(1537877, 11554, 109449)","(1537619, 11607, 109654)","(1537853, 11684, 109343)","(1537512, 11511, 109857)","(1537405, 11476, 109999)","(1537016, 11276, 110588)","(1537384, 11634, 109862)","(1537203, 11472, 110205)","(1537758, 11399, 109723)"
KORA2452409,"(2000818, 17080, 157078)","(2000221, 17838, 156917)","(1999314, 18157, 157505)","(2001099, 17581, 156296)","(1999750, 18078, 157148)","(2000970, 16945, 157061)","(2000529, 16910, 157537)","(2000326, 17647, 157003)","(2000991, 16486, 157499)","(1999676, 18469, 156831)"
KORA2453290,"(1733649, 15729, 130686)","(1733071, 16381, 130612)","(1732977, 16226, 130861)","(1733008, 16337, 130719)","(1733315, 16081, 130668)","(1733172, 16278, 130614)","(1733654, 16008, 130402)","(1733460, 16112, 130492)","(1733628, 16194, 130242)","(1733726, 15916, 130422)"
