"","V1","V2","V3","V4","V5"
"245",0,0,0,0,0
"246",0,0,0,0,0
"247",1,1,1,1,1
"248",1,1,1,1,1
"249",0,0,0,0,0
"250",0,0,0,0,0
"251",1,1,1,1,1
"252",0,0,0,0,0
"253",0,0,0,0,0
"254",0,0,0,0,0
"255",0,0,0,0,0
"256",0,0,0,0,0
"257",0,0,0,0,0
"258",0,0,0,0,0
"259",0,0,0,0,0
"260",0,0,0,0,0
"261",0,0,0,0,0
"262",0,0,0,0,0
"263",0,0,0,0,0
"264",0,0,0,0,0
"265",0,0,0,0,0
"266",0,0,0,0,0
"267",0,0,0,0,0
"268",0,0,0,0,0
"269",1,1,1,1,1
"270",1,1,1,1,1
"271",1,1,1,1,1
"272",1,1,1,1,1
"273",0,0,0,0,0
"274",1,1,1,1,1
"275",0,0,0,0,0
"276",1,1,1,1,1
"277",1,1,1,1,1
"278",0,0,0,0,0
"279",1,1,1,1,1
"280",0,0,0,0,0
"281",0,0,0,0,0
"282",0,0,0,0,0
"283",0,0,0,0,0
"284",0,0,0,0,0
"285",0,0,0,0,0
"286",0,0,0,0,0
"287",0,0,0,0,0
"288",1,1,1,1,1
"289",0,0,0,0,0
"290",1,1,1,1,1
"291",1,1,1,1,1
"292",0,0,0,0,0
"293",0,0,0,0,0
"294",0,0,0,0,0
"295",0,0,0,0,0
"296",0,0,0,0,0
"297",0,0,0,0,0
"298",0,0,0,0,0
"299",0,0,0,0,0
"300",0,0,0,0,0
"301",0,0,0,0,0
"302",1,1,1,1,1
"303",0,0,0,0,0
"304",0,0,0,0,0
"305",1,1,1,1,1
"306",0,0,0,0,0
"307",0,0,0,0,0
"308",0,0,0,0,0
"309",0,0,0,0,0
"310",0,0,0,0,0
"311",0,0,0,0,0
"312",0,0,0,0,0
"313",0,0,0,0,0
"314",1,1,1,1,1
"315",0,0,0,0,0
"316",0,0,0,0,0
"317",1,1,1,1,1
"318",1,1,1,1,1
"319",0,0,0,0,0
"320",0,0,0,0,0
"321",1,1,1,1,1
"322",0,0,0,0,0
"323",0,0,0,0,0
"324",1,1,1,1,1
"325",0,0,0,0,0
"326",1,1,1,1,1
"327",0,0,0,0,0
"328",0,0,0,0,0
"329",0,0,0,0,0
"330",0,0,0,0,0
"331",1,1,1,1,1
"332",1,1,1,1,1
"333",0,0,0,0,0
"334",1,1,1,1,1
"335",0,0,0,0,0
"336",0,0,0,0,0
"337",1,1,1,1,1
"338",1,1,1,1,1
"339",0,0,0,0,0
"340",0,0,0,0,0
"341",0,0,0,0,0
"342",0,0,0,0,0
"343",1,1,1,1,1
"344",1,1,1,1,1
"345",1,1,1,1,1
"346",0,0,0,0,0
"347",1,1,1,1,1
"348",0,0,0,0,0
"349",1,1,1,1,1
"350",1,1,1,1,1
"351",0,0,0,0,0
"352",0,0,0,0,0
"353",0,0,0,0,0
"354",0,0,0,0,0
"355",1,1,1,1,1
"356",0,0,0,0,0
"357",0,0,0,0,0
"358",0,0,0,0,0
"359",0,0,0,0,0
"360",0,0,0,0,0
"361",0,0,0,0,0
"362",0,0,0,0,0
"363",1,1,1,1,1
"364",1,1,1,1,1
"365",0,0,0,0,0
"366",0,0,0,0,0
"367",0,0,0,0,0
"368",0,0,0,0,0
"369",0,0,0,0,0
"370",1,1,1,1,1
"371",0,0,0,0,0
"372",0,0,0,0,0
"373",0,0,0,0,0
"374",1,1,1,1,1
"375",1,1,1,1,1
"376",1,1,1,1,1
"377",0,0,0,0,0
"378",0,0,0,0,0
"379",1,1,1,1,1
"380",0,0,0,0,0
"381",1,1,1,1,1
"382",0,0,0,0,0
"383",0,0,0,0,0
"384",0,0,0,0,0
"385",0,0,0,0,0
"386",0,0,0,0,0
"387",1,1,1,1,1
"388",0,0,0,0,0
"389",0,0,0,0,0
"390",1,1,1,1,1
"391",1,1,1,1,1
"392",0,0,0,0,0
"393",0,0,0,0,0
"394",1,1,1,1,1
"395",1,1,1,1,1
"396",0,0,0,0,0
"397",0,0,0,0,0
"398",0,0,0,0,0
"399",0,0,0,0,0
"400",0,0,0,0,0
"401",0,0,0,0,0
"402",0,0,0,0,0
"403",0,0,0,0,0
"404",0,0,0,0,0
"405",1,1,1,1,1
"406",0,0,0,0,0
"407",0,0,0,0,0
"408",0,0,0,0,0
"409",1,1,1,1,1
"410",1,1,1,1,1
"411",0,0,0,0,0
"412",0,0,0,0,0
"413",0,0,0,0,0
"414",1,1,1,1,1
"415",0,0,0,0,0
"416",0,0,0,0,0
"417",0,0,0,0,0
"418",0,0,0,0,0
"419",0,0,0,0,0
"420",1,1,1,1,1
"421",1,1,1,1,1
"422",1,1,1,1,1
"423",0,0,0,0,0
"424",0,0,0,0,0
"425",0,0,0,0,0
"426",1,1,1,1,1
"427",0,0,0,0,0
"428",0,0,0,0,0
"429",0,0,0,0,0
"430",1,1,1,1,1
"431",0,0,0,0,0
"432",0,0,0,0,0
"433",0,0,0,0,0
"434",0,0,0,0,0
"435",0,0,0,0,0
"436",1,1,1,1,1
"437",0,0,0,0,0
"438",0,0,0,0,0
"439",1,1,1,1,1
"440",0,0,0,0,0
"441",0,0,0,0,0
"442",1,1,1,1,1
"443",0,0,0,0,0
"444",0,0,0,0,0
"445",0,0,0,0,0
"446",1,1,1,1,1
"447",0,0,0,0,0
"448",1,1,1,1,1
"449",0,0,0,0,0
"450",0,0,0,0,0
"451",1,1,1,1,1
"452",1,1,1,1,1
"453",0,0,0,0,0
"454",1,1,1,1,1
"455",0,0,0,0,0
"456",0,0,0,0,0
"457",0,0,0,0,0
"458",0,0,0,0,0
"459",0,0,0,0,0
"460",0,0,0,0,0
"461",0,0,0,0,0
"462",1,1,1,1,1
"463",0,0,0,0,0
"464",0,0,0,0,0
"465",0,0,0,0,0
"466",1,1,1,1,1
"467",0,0,0,0,0
"468",0,0,0,0,0
"469",0,0,0,0,0
"470",0,0,0,0,0
"471",0,0,0,0,0
"472",0,0,0,0,0
"473",1,1,1,1,1
"474",0,0,0,0,0
"475",1,1,1,1,1
"476",0,0,0,0,0
"477",1,1,1,1,1
"478",0,0,0,0,0
"479",0,0,0,0,0
"480",0,0,0,0,0
"481",1,1,1,1,1
"482",1,1,1,1,1
"483",0,0,0,0,0
"484",1,1,1,1,1
"485",1,1,1,1,1
"486",0,0,0,0,0
"487",0,0,0,0,0
"488",0,0,0,0,0
"489",1,1,1,1,1
"490",1,1,1,1,1
"491",0,0,0,0,0
"492",0,0,0,0,0
"493",0,0,0,0,0
"494",0,0,0,0,0
"495",0,0,0,0,0
"496",1,1,1,1,1
"497",1,1,1,1,1
"498",1,1,1,1,1
"499",1,1,1,1,1
"500",0,0,0,0,0
"501",0,0,0,0,0
"502",0,0,0,0,0
"503",0,0,0,0,0
"504",0,0,0,0,0
"505",0,0,0,0,0
"506",1,1,1,1,1
"507",0,0,0,0,0
"508",0,0,0,0,0
"509",0,0,0,0,0
"510",1,1,1,1,1
"511",0,0,0,0,0
"512",0,0,0,0,0
"513",1,1,1,1,1
"514",0,0,0,0,0
"515",0,0,0,0,0
"516",0,0,0,0,0
"517",0,0,0,0,0
"518",0,0,0,0,0
"519",0,0,0,0,0
"520",0,0,0,0,0
"521",0,0,0,0,0
"522",0,0,0,0,0
"523",0,0,0,0,0
"524",0,0,0,0,0
"525",0,0,0,0,0
"526",0,0,0,0,0
"527",1,1,1,1,1
"528",1,1,1,1,1
"529",0,0,0,0,0
"530",1,1,1,1,1
"531",0,0,0,0,0
"532",0,0,0,0,0
"533",0,0,0,0,0
"534",0,0,0,0,0
"535",0,0,0,0,0
"536",1,1,1,1,1
"537",0,0,0,0,0
"538",0,0,0,0,0
"539",1,1,1,1,1
"540",0,0,0,0,0
"541",1,1,1,1,1
"542",0,0,0,0,0
"543",1,1,1,1,1
"544",0,0,0,0,0
"545",1,1,1,1,1
"546",0,0,0,0,0
"547",0,0,0,0,0
"548",0,0,0,0,0
"549",0,0,0,0,0
"550",0,0,0,0,0
"551",1,1,1,1,1
"552",0,0,0,0,0
"553",0,0,0,0,0
"554",1,1,1,1,1
"555",1,1,1,1,1
"556",0,0,0,0,0
"557",0,0,0,0,0
"558",0,0,0,0,0
"559",1,1,1,1,1
"560",0,0,0,0,0
"561",0,0,0,0,0
"562",0,0,0,0,0
"563",1,1,1,1,1
"564",0,0,0,0,0
"565",1,1,1,1,1
"566",0,0,0,0,0
"567",0,0,0,0,0
"568",0,0,0,0,0
"569",1,1,1,1,1
"570",1,1,1,1,1
"571",1,1,1,1,1
"572",1,1,1,1,1
"573",0,0,0,0,0
"574",0,0,0,0,0
"575",1,1,1,1,1
"576",0,0,0,0,0
"577",1,1,1,1,1
"578",0,0,0,0,0
"579",0,0,0,0,0
"580",0,0,0,0,0
"581",0,0,0,0,0
"582",0,0,0,0,0
"583",1,1,1,1,1
"584",0,0,0,0,0
"585",0,0,0,0,0
"586",1,1,1,1,1
"587",0,0,0,0,0
"588",0,0,0,0,0
"589",0,0,0,0,0
"590",0,0,0,0,0
"591",1,1,1,1,1
"592",0,0,0,0,0
"593",0,0,0,0,0
"594",1,1,1,1,1
"595",0,0,0,0,0
"596",0,0,0,0,0
"597",0,0,0,0,0
"598",1,1,1,1,1
"599",1,1,1,1,1
"600",1,1,1,1,1
"601",0,0,0,0,0
"602",0,0,0,0,0
"603",0,0,0,0,0
"604",1,1,1,1,1
"605",0,0,0,0,0
"606",1,1,1,1,1
"607",0,0,0,0,0
"608",0,0,0,0,0
"609",1,1,1,1,1
"610",0,0,0,0,0
"611",0,0,0,0,0
"612",0,0,0,0,0
"613",0,0,0,0,0
"614",0,0,0,0,0
"615",1,1,1,1,1
"616",1,1,1,1,1
"617",0,0,0,0,0
"618",0,0,0,0,0
"619",1,1,1,1,1
"620",0,0,0,0,0
"621",0,0,0,0,0
"622",0,0,0,0,0
"623",0,0,0,0,0
"624",1,1,1,1,1
"625",1,1,1,1,1
"626",0,0,0,0,0
"627",0,0,0,0,0
"628",0,0,0,0,0
"629",0,0,0,0,0
"630",1,1,1,1,1
"631",0,0,0,0,0
"632",0,0,0,0,0
"633",0,0,0,0,0
"634",0,0,0,0,0
"635",1,1,1,1,1
"636",1,1,1,1,1
"637",0,0,0,0,0
"638",1,1,1,1,1
"639",0,0,0,0,0
"640",0,0,0,0,0
"641",0,0,0,0,0
"642",0,0,0,0,0
"643",1,1,1,1,1
"644",1,1,1,1,1
"645",0,0,0,0,0
"646",0,0,0,0,0
"647",0,0,0,0,0
"648",1,1,1,1,1
"649",1,1,1,1,1
"650",1,1,1,1,1
"651",0,0,0,0,0
"652",0,0,0,0,0
"653",0,0,0,0,0
"654",1,1,1,1,1
"655",0,0,0,0,0
"656",0,0,0,0,0
"657",1,1,1,1,1
"658",0,0,0,0,0
"659",0,0,0,0,0
"660",0,0,0,0,0
"661",0,0,0,0,0
"662",0,0,0,0,0
"663",0,0,0,0,0
"664",1,1,1,1,1
"665",0,0,0,0,0
"666",0,0,0,0,0
"667",1,1,1,1,1
"668",0,0,0,0,0
"669",0,0,0,0,0
"670",1,1,1,1,1
"671",0,0,0,0,0
"672",1,1,1,1,1
"673",1,1,1,1,1
"674",0,0,0,0,0
"675",0,0,0,0,0
"676",1,1,1,1,1
"677",0,0,0,0,0
"678",0,0,0,0,0
"679",1,1,1,1,1
"680",0,0,0,0,0
"681",0,0,0,0,0
"682",0,0,0,0,0
"683",1,1,1,1,1
"684",0,0,0,0,0
"685",0,0,0,0,0
"686",1,1,1,1,1
"687",0,0,0,0,0
"688",0,0,0,0,0
"689",0,0,0,0,0
"690",0,0,0,0,0
"691",0,0,0,0,0
"692",0,0,0,0,0
"693",1,1,1,1,1
"694",1,1,1,1,1
"695",0,0,0,0,0
"696",1,1,1,1,1
"697",0,0,0,0,0
"698",0,0,0,0,0
"699",0,0,0,0,0
"700",1,1,1,1,1
"701",0,0,0,0,0
"702",0,0,0,0,0
"703",0,0,0,0,0
"704",0,0,0,0,0
"705",0,0,0,0,0
"706",1,1,1,1,1
"707",1,1,1,1,1
"708",0,0,0,0,0
"709",1,1,1,1,1
"710",0,0,0,0,0
"711",0,0,0,0,0
"712",1,1,1,1,1
"713",0,0,0,0,0
"714",0,0,0,0,0
"715",0,0,0,0,0
"716",0,0,0,0,0
"717",0,0,0,0,0
"718",1,1,1,1,1
"719",1,1,1,1,1
"720",1,1,1,1,1
"721",0,0,0,0,0
"722",0,0,0,0,0
"723",0,0,0,0,0
"724",0,0,0,0,0
"725",0,0,0,0,0
"726",0,0,0,0,0
"727",0,0,0,0,0
"728",1,1,1,1,1
"729",0,0,0,0,0
"730",0,0,0,0,0
"731",0,0,0,0,0
"732",1,1,1,1,1
"733",1,1,1,1,1
"734",1,1,1,1,1
"735",1,1,1,1,1
"736",0,0,0,0,0
"737",0,0,0,0,0
"738",0,0,0,0,0
"739",0,0,0,0,0
"740",1,1,1,1,1
"741",0,0,0,0,0
"742",0,0,0,0,0
"743",0,0,0,0,0
"744",0,0,0,0,0
"745",0,0,0,0,0
"746",0,0,0,0,0
"747",0,0,0,0,0
"748",1,1,1,1,1
"749",0,0,0,0,0
"750",1,1,1,1,1
"751",1,1,1,1,1
"752",1,1,1,1,1
"753",0,0,0,0,0
"754",1,1,1,1,1
"755",0,0,0,0,0
"756",0,0,0,0,0
"757",1,1,1,1,1
"758",1,1,1,1,1
"759",0,0,0,0,0
"760",0,0,0,0,0
"761",1,1,1,1,1
"762",0,0,0,0,0
"763",0,0,0,0,0
"764",0,0,0,0,0
"765",0,0,0,0,0
"766",0,0,0,0,0
"767",0,0,0,0,0
"768",1,1,1,1,1
"769",0,0,0,0,0
"770",0,0,0,0,0
"771",0,0,0,0,0
"772",0,0,0,0,0
"773",0,0,0,0,0
"774",1,1,1,1,1
"775",0,0,0,0,0
"776",0,0,0,0,0
"777",0,0,0,0,0
"778",1,1,1,1,1
"779",0,0,0,0,0
"780",1,1,1,1,1
"781",0,0,0,0,0
"782",0,0,0,0,0
"783",0,0,0,0,0
"784",0,0,0,0,0
"785",1,1,1,1,1
"786",1,1,1,1,1
"787",0,0,0,0,0
"788",0,0,0,0,0
"789",1,1,1,1,1
"790",0,0,0,0,0
"791",0,0,0,0,0
"792",0,0,0,0,0
"793",0,0,0,0,0
"794",0,0,0,0,0
"795",1,1,1,1,1
"796",0,0,0,0,0
"797",0,0,0,0,0
"798",0,0,0,0,0
"799",0,0,0,0,0
"800",0,0,0,0,0
"801",0,0,0,0,0
"802",1,1,1,1,1
"803",0,0,0,0,0
"804",1,1,1,1,1
"805",1,1,1,1,1
"806",0,0,0,0,0
"807",0,0,0,0,0
"808",0,0,0,0,0
"809",0,0,0,0,0
"810",0,0,0,0,0
"811",0,0,0,0,0
"812",0,0,0,0,0
"813",1,1,1,1,1
"814",0,0,0,0,0
"815",0,0,0,0,0
"816",0,0,0,0,0
"817",0,0,0,0,0
"818",1,1,1,1,1
"819",0,0,0,0,0
"820",0,0,0,0,0
"821",1,1,1,1,1
"822",0,0,0,0,0
"823",0,0,0,0,0
"824",0,0,0,0,0
"825",0,0,0,0,0
"826",0,0,0,0,0
"827",0,0,0,0,0
"828",0,0,0,0,0
"829",0,0,0,0,0
"830",0,0,0,0,0
"831",0,0,0,0,0
"832",1,1,1,1,1
"833",0,0,0,0,0
"834",0,0,0,0,0
"835",0,0,0,0,0
"836",0,0,0,0,0
"837",1,1,1,1,1
"838",0,0,0,0,0
"839",0,0,0,0,0
"840",0,0,0,0,0
"841",1,1,1,1,1
"842",0,0,0,0,0
"843",1,1,1,1,1
"844",0,0,0,0,0
"845",0,0,0,0,0
"846",0,0,0,0,0
"847",0,0,0,0,0
"848",0,0,0,0,0
"849",0,0,0,0,0
"850",0,0,0,0,0
"851",0,0,0,0,0
"852",0,0,0,0,0
"853",0,0,0,0,0
"854",1,1,1,1,1
"855",0,0,0,0,0
"856",1,1,1,1,1
"857",0,0,0,0,0
"858",0,0,0,0,0
"859",1,1,1,1,1
"860",0,0,0,0,0
"861",0,0,0,0,0
"862",1,1,1,1,1
"863",0,0,0,0,0
"864",0,0,0,0,0
"865",0,0,0,0,0
"866",0,0,0,0,0
"867",0,0,0,0,0
"868",0,0,0,0,0
"869",0,0,0,0,0
"870",0,0,0,0,0
"871",1,1,1,1,1
"872",0,0,0,0,0
"873",0,0,0,0,0
"874",0,0,0,0,0
"875",0,0,0,0,0
"876",0,0,0,0,0
"877",1,1,1,1,1
"878",0,0,0,0,0
"879",1,1,1,1,1
"880",1,1,1,1,1
"881",1,1,1,1,1
"882",1,1,1,1,1
"883",0,0,0,0,0
"884",0,0,0,0,0
"885",1,1,1,1,1
"886",0,0,0,0,0
"887",0,0,0,0,0
"888",0,0,0,0,0
"889",0,0,0,0,0
"890",0,0,0,0,0
"891",0,0,0,0,0
"892",0,0,0,0,0
"893",1,1,1,1,1
"894",0,0,0,0,0
"895",0,0,0,0,0
"896",0,0,0,0,0
"897",1,1,1,1,1
"898",0,0,0,0,0
"899",0,0,0,0,0
"900",0,0,0,0,0
"901",1,1,1,1,1
"902",1,1,1,1,1
"903",0,0,0,0,0
"904",0,0,0,0,0
"905",0,0,0,0,0
"906",1,1,1,1,1
"907",0,0,0,0,0
"908",0,0,0,0,0
"909",0,0,0,0,0
"910",1,1,1,1,1
"911",0,0,0,0,0
"912",0,0,0,0,0
"913",0,0,0,0,0
"914",0,0,0,0,0
"915",0,0,0,0,0
"916",0,0,0,0,0
"917",0,0,0,0,0
"918",0,0,0,0,0
"919",0,0,0,0,0
"920",1,1,1,1,1
"921",0,0,0,0,0
"922",1,1,1,1,1
"923",0,0,0,0,0
"924",0,0,0,0,0
"925",0,0,0,0,0
"926",0,0,0,0,0
"927",0,0,0,0,0
"928",1,1,1,1,1
"929",0,0,0,0,0
"930",0,0,0,0,0
"931",0,0,0,0,0
"932",0,0,0,0,0
"933",0,0,0,0,0
"934",1,1,1,1,1
"935",0,0,0,0,0
"936",0,0,0,0,0
"937",0,0,0,0,0
"938",0,0,0,0,0
"939",0,0,0,0,0
"940",0,0,0,0,0
"941",0,0,0,0,0
"942",1,1,1,1,1
"943",1,1,1,1,1
"944",1,1,1,1,1
"945",0,0,0,0,0
"946",0,0,0,0,0
"947",0,0,0,0,0
"948",1,1,1,1,1
"949",0,0,0,0,0
"950",0,0,0,0,0
"951",0,0,0,0,0
"952",0,0,0,0,0
"953",0,0,0,0,0
"954",1,1,1,1,1
"955",0,0,0,0,0
"956",1,1,1,1,1
"957",1,1,1,1,1
"958",0,0,0,0,0
"959",0,0,0,0,0
"960",0,0,0,0,0
"961",0,0,0,0,0
"962",1,1,1,1,1
"963",0,0,0,0,0
"964",0,0,0,0,0
"965",0,0,0,0,0
"966",0,0,0,0,0
