,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16
5,0.731407894736842,0.544136332979959,0.719026315789474,0.563792320083242,0,0,0,0,0,0,0,0,0,0,0,0
1,0.731605263157895,0.545242862995716,0.725631578947368,0.570635483184264,0.723013157894737,0.562685818580648,0.725894736842105,0.562973928844026,0.724868421052632,0.569577909229901,0.725723684210526,0.570245651584919,0.725710526315789,0.570968417420474,0.726736842105263,0.571913718853581
2,0.731684210526316,0.544802730726586,0.715671052631579,0.55643326166337,0.724842105263158,0.561527370102284,0.728828947368421,0.565024224484725,0.715947368421053,0.557283092820376,0.715921052631579,0.557205132764372,0.715434210526316,0.556188136663416,0.715434210526316,0.556000203672613
3,0.731092105263158,0.544495485173732,0.720842105263158,0.567053948273601,0.732447368421053,0.578142403874562,0.714894736842105,0.544285488032337,0.72021052631579,0.565526574372749,0.720105263157895,0.565111771236804,0.720697368421053,0.566331451189142,0.720776315789474,0.566208476367273
4,0.731513157894737,0.545236861882471,0.722342105263158,0.56844778179423,0.720447368421053,0.556469191799398,0.725184210526316,0.566511560484007,0.721710526315789,0.567556385534137,0.721394736842105,0.566454723531052,0.721776315789474,0.567411550586089,0.721631578947368,0.566546183318283
