,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16
5,0.705473684210526,0.5745757083164,0.722276315789474,0.589995990353471,0,0,0,0,0,0,0,0,0,0,0,0
1,0.705486842105263,0.574670505992776,0.725947368421053,0.595546658826252,0.721934210526316,0.584959470114513,0.719223684210526,0.58042237066733,0.723368421052632,0.588509092487123,0.722236842105263,0.585700140998365,0.713855263157895,0.573204714540647,0.712618421052632,0.570827654641958
2,0.705026315789474,0.573840010236709,0.716105263157895,0.578748170283993,0.721,0.578034936312267,0.726407894736842,0.582652980102601,0.712578947368421,0.569064024318133,0.711355263157895,0.567090506325718,0.701118421052632,0.540689502221006,0.700223684210526,0.538960556903925
3,0.705052631578947,0.573696216650584,0.723710526315789,0.591246216355634,0.727631578947368,0.588799196662545,0.710710526315789,0.561917312618847,0.724223684210526,0.589987236461959,0.724302631578947,0.589994129584922,0.713065789473684,0.566973812143568,0.713131578947368,0.567003265741208
4,0.705118421052632,0.5735654088163,0.724381578947368,0.592717544159672,0.717026315789474,0.574562695329075,0.72021052631579,0.584317864348303,0.72128947368421,0.584314615087418,0.720947368421053,0.583331895650441,0.710828947368421,0.571269582833274,0.710157894736842,0.569670451672117
