"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",0.627,0.610283978180377,0.522591591591592,0.499494152478228,0.525764264264264,0.503925237552525,0.524693693693694,0.50375137135337,0.524423423423423,0.498226544633622,0.523507507507508,0.498005841065981,0.527432432432432,NA,0.526716216216216,NA
"2",0.627,0.610283978180377,0.494157657657658,0.494436625444017,0.500641141141141,0.458509410391758,0.505587087087087,0.491277663175992,0.498220720720721,NA,0.499205705705706,NA,0.498876876876877,NA,0.49901951951952,NA
"3",0.627,0.610283978180377,0.492234234234234,0.49042106122415,0.489378378378378,0.438826483217362,0.489082582582583,0.484503120755005,0.49154954954955,NA,0.49153003003003,NA,0.495839339339339,NA,0.495801801801802,NA
"4",0.627,0.610283978180377,0.491641141141141,0.492759523982322,0.495764264264264,0.471441010827316,0.494153153153153,0.506479980327295,0.493127627627628,NA,0.493367867867868,NA,0.496333333333333,NA,0.496250750750751,NA
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
