volume_id,spleen_qc,liver_qc,qc_mean
KORA2459774,0.824212625432465,0.845198500722562,0.834705563077513
KORA2453328,0.920942744563077,0.83398064949923,0.877461697031153
KORA2452913,0.8986619114631,0.896008637171981,0.897335274317541
KORA2452353,0.713944349455387,0.79276897473993,0.753356662097659
KORA2456928,0.912063893820319,0.859415908371835,0.885739901096077
KORA2462380,0.886727748158586,0.822378555038739,0.854553151598662
KORA2459873,0.915420454889551,0.754166365937795,0.834793410413673
KORA2453082,0.909377451868153,0.905103765361598,0.907240608614876
KORA2455268,0.87266327707902,0.855273876462617,0.863968576770819
KORA2452967,0.888878562452523,0.830344243330664,0.859611402891593
KORA2453048,0.962274249059522,0.890497279842809,0.926385764451165
KORA2453677,0.828169514257287,0.942769428487664,0.885469471372475
KORA2452812,0.744726359140252,0.710495693786613,0.727611026463433
KORA2460903,0.880855389071247,0.654834761023653,0.76784507504745
KORA2452364,0.974187929629907,0.875906995003343,0.925047462316625
KORA2460348,0.842892802273632,0.921343930904323,0.882118366588978
KORA2461338,0.935509678543238,0.809691826340287,0.872600752441763
KORA2461868,0.982432891195957,0.857667420996541,0.920050156096249
KORA2460326,0.970873715210513,0.946227579502489,0.958550647356501
KORA2453172,0.978890457337427,0.904553021659393,0.94172173949841
KORA2453136,0.884408232289109,0.756631379475598,0.820519805882353
KORA2452206,0.955969159930214,0.975718929716786,0.9658440448235
KORA2460878,0.804924619295566,0.850326271927026,0.827625445611296
KORA2452129,0.985348693459833,0.872646822870405,0.928997758165119
KORA2456278,0.846506092003087,0.716613613937667,0.781559852970377
KORA2456199,0.699844502412527,0.751373551507896,0.725609026960212
KORA2460565,0.969284897456806,0.900116948552207,0.934700923004507
KORA2454788,0.862861956065485,0.884881166473681,0.873871561269583
KORA2460174,0.951064279009642,0.925852059046914,0.938458169028278
KORA2453290,0.84405699666053,0.917259793029712,0.880658394845121
KORA2459605,0.744647362073963,0.898998122953614,0.821822742513788
KORA2460768,0.919578600809056,0.88003652865056,0.899807564729808
KORA2460504,0.887492044626257,0.900537839970133,0.894014942298195
KORA2453194,0.828018711691294,0.708622330682189,0.768320521186742
KORA2452834,0.971867976977749,0.814964101076789,0.893416039027269
KORA2459123,0.68805982963121,0.924945177356666,0.806502503493938
KORA2453150,0.68209720750941,0.858070992862989,0.7700841001862
KORA2462345,0.873517985232107,0.835808493277753,0.85466323925493
KORA2460830,0,0.502266477888557,0.251133238944278
KORA2459310,0.919347698081127,0.888141149575819,0.903744423828473
KORA2459455,0.505362983641268,0.747330195191685,0.626346589416477
KORA2459763,0.767914345344352,0.779450325842517,0.773682335593435
KORA2453620,0.984320727068806,0.928558814944719,0.956439771006762
KORA2461392,0.872697690702655,0.847207287083637,0.859952488893146
KORA2453578,0.890190121224383,0.798123099843491,0.844156610533937
KORA2453524,0.925754741292942,0.89011538983415,0.907935065563546
KORA2452409,0.44454253741719,0.767903965818709,0.60622325161795
KORA2460785,0.689869351061487,0.74930275304704,0.719586052054263
KORA2460867,0.962862977803006,0.906795355733838,0.934829166768422
KORA2453642,0.380876721263335,0.793923955454475,0.587400338358905
KORA2459972,0.59885212514797,0.887194814980163,0.743023470064067
KORA2456202,0.93296744684556,0.955445767036116,0.944206606940838
KORA2455946,0.840521320567604,0.879850402255511,0.860185861411558
KORA2456917,0.867385387506142,0.816817293298274,0.842101340402208
KORA2452426,0.865091816850149,0.616960956820544,0.741026386835347
KORA2461184,0.976506046964187,0.878798524022889,0.927652285493538
KORA2456379,0.934573009634268,0.785933948419306,0.860253479026787
KORA2456241,0.966641663970431,0.921619403516369,0.9441305337434
KORA2456793,0.519446440775088,0.724778318511361,0.622112379643225
KORA2452263,0.992999993493575,0.931395084159412,0.962197538826494
KORA2460633,0.795242217467387,0.886932003593405,0.841087110530396
KORA2452316,0.791212157258669,0.844394328564318,0.817803242911494
KORA2453844,0.952201862979985,0.907364657461633,0.929783260220809
KORA2462093,0.799504702643722,0.909532764347608,0.854518733495665
KORA2459752,0.877753552380877,0.895135887289151,0.886444719835014
KORA2453470,0.749811681986597,0.614798623902697,0.682305152944647
KORA2459477,0.906540682993184,0.911237264393778,0.908888973693481
KORA2453306,0.913067318352413,0.895857530990497,0.904462424671455
KORA2461409,0.840349696756781,0.869266895167116,0.854808295961949
KORA2460779,0.824991794875117,0.816536115104887,0.820763954990002
KORA2460309,0.786855305326304,0.94128202541877,0.864068665372537
KORA2456340,0.826897761132025,0.887534525095311,0.857216143113668
KORA2461206,0.935913573553558,0.842767176283212,0.889340374918385
KORA2460824,0.924133896363266,0.92306138593918,0.923597641151223
KORA2461956,0.952071324764018,0.924894522517006,0.938482923640512
KORA2459908,0.951566441588704,0.857663920735464,0.904615181162084
KORA2452924,0.538779835575311,0.75373135071421,0.646255593144761
KORA2459947,0.778040233394421,0.860400622429411,0.819220427911916
KORA2453464,0.965311281666742,0.914081580510901,0.939696431088822
