volume_id,seg_spleen,seg_liver
KORA2458068,206927,15153
KORA2453732,110082,11891
KORA2453787,121833,10204
KORA2456793,111252,8913
KORA2461885,189684,34557
KORA2455296,186591,15241
KORA2455946,133873,22723
KORA2453765,140318,16242
KORA2453194,116245,10803
KORA2459972,146331,23643
KORA2452885,110791,21420
KORA2459244,205416,13452
KORA2453273,95868,14775
KORA2456672,189908,27918
KORA2462345,162819,8704
KORA2452460,158614,16229
KORA2459780,127363,11452
KORA2460830,137206,18359
KORA2459807,125648,20032
KORA2460878,154679,17625
KORA2461588,168406,30332
KORA2460785,142743,16669
KORA2452118,145733,15924
KORA2452437,102294,16725
KORA2453822,159267,17744
KORA2452913,116287,24376
KORA2452094,276014,20102
KORA2453306,156728,18887
KORA2461206,101479,12819
KORA2461930,85618,12402
KORA2462026,138665,29585
KORA2453172,119743,15945
KORA2452252,120564,14809
KORA2461008,125715,20764
KORA2456816,134657,17853
KORA2462119,160444,17500
KORA2455525,174964,13049
KORA2458169,104355,17127
KORA2453374,153636,15996
KORA2459774,161946,14777
KORA2459526,168702,20835
KORA2459994,93462,12611
KORA2452353,177244,17356
KORA2461349,154910,24646
KORA2452409,110396,18355
KORA2452801,115900,23250
KORA2460472,124975,19192
KORA2460450,181489,31741
KORA2459310,130686,16654
KORA2460227,137631,21561
KORA2453833,146157,6907
KORA2461050,134689,21904
KORA2459477,121645,19548
KORA2453251,131791,18582
KORA2453363,124075,25512
KORA2452834,148110,19490
KORA2460889,136893,14190
KORA2456917,107388,14445
KORA2452392,144576,26790
KORA2461184,133265,11715
KORA2453380,134094,18876
KORA2460779,116973,22439
KORA2453207,102166,13863
KORA2460238,172195,35407
