project,dataset,model_name,volume_id,samples,sncc,ged,iou_spleen,iou_liver,iou_mean,dice_spleen,dice_liver,dice_mean,surface_distance_prtogt_spleen,surface_distance_prtogt_liver,surface_distance_prtogt_mean,surface_distance_gttopr_spleen,surface_distance_gttopr_liver,surface_distance_gttopr_mean,surface_distance_avg_spleen,surface_distance_avg_liver,surface_distance_avg_mean
1,0,hierarchical_quicknat_KORA_v1,KORA2452941,10,0.26275274649177716,0.40242499444703983,0.9278525868178596,0.9899376861577049,0.9588951364877822,0.6698022484779358,0.9358997344970703,0.8028509616851807,0.7035390046148301,0.8606602029920405,0.7820996038034354,0.7108185238862844,0.8656193595050917,0.7882189416956881,0.7071787642505573,0.8631397812485662,0.7851592727495618
1,0,hierarchical_quicknat_KORA_v1,KORA2453732,10,0.04338895863623226,0.6394336954325089,0.9465742251223491,0.986588015721107,0.9665811204217281,0.25888121128082275,0.9367835521697998,0.5978323817253113,0.7175289405268022,0.8369206050522515,0.7772247727895268,0.25874942222201075,0.8754235394083039,0.5670864808151573,0.4881391813744065,0.8561720722302777,0.6721556268023421
1,0,hierarchical_quicknat_KORA_v1,KORA2452338,10,0.23488033663538146,0.33632849068484905,0.955349278406396,0.9900238454426006,0.9726865619244983,0.7645618915557861,0.928766667842865,0.846664309501648,0.7197615104543438,0.7931306735963846,0.7564460920253642,0.7278339623145306,0.8100511029148373,0.7689425326146839,0.7237977363844372,0.8015908882556109,0.762694312320024
1,0,hierarchical_quicknat_KORA_v1,KORA2453363,10,0.030441748259215425,0.3295653508598958,0.9431857548673179,0.9883515542412118,0.9657686545542649,0.7673259973526001,0.932251513004303,0.8497887849807739,0.6982441894086807,0.8550139397136806,0.7766290645611806,0.8997104923802708,0.8552696399371412,0.877490066158706,0.7989773408944758,0.8551417898254109,0.8270595653599434
1,0,hierarchical_quicknat_KORA_v1,KORA2453833,10,0.15455931618785912,0.2717583884137108,0.9346448500898515,0.9927774003459524,0.963711125217902,0.7946207523345947,0.9588472247123718,0.8767340183258057,0.6142367353685926,0.914206630042141,0.7642216827053667,0.9065334898194646,0.9287027664390257,0.9176181281292451,0.7603851125940286,0.9214546982405833,0.840919905417306
1,0,hierarchical_quicknat_KORA_v1,KORA2459526,10,0.05257263946111327,0.2747314491237349,0.9680711167218978,0.9870796380497907,0.9775753773858442,0.8147517442703247,0.9435003995895386,0.8791260719299316,0.690530380311775,0.8288961386012949,0.759713259456535,0.89128308613881,0.8971516204757412,0.8942173533072756,0.7909067332252926,0.863023879538518,0.8269653063819052
1,0,hierarchical_quicknat_KORA_v1,KORA2459983,10,0.23772699295893374,0.132842238078536,0.9771925699506231,0.9952640211925425,0.9862282955715829,0.9314388632774353,0.9614447951316833,0.9464418292045593,0.8972474033340704,0.9789835777971865,0.9381154905656284,0.9746245937444347,0.9568012996156454,0.96571294668004,0.9359359985392526,0.967892438706416,0.9519142186228342
1,0,hierarchical_quicknat_KORA_v1,KORA2461632,10,0.0068600851851501575,0.22978176012422225,0.9911969881519211,0.9855108868769574,0.9883539375144392,0.8792791962623596,0.9287428855895996,0.9040110111236572,0.8461909014065205,0.7837950118438765,0.8149929566251986,0.7933204115973047,0.8223459930256773,0.807833202311491,0.8197556565019126,0.8030705024347768,0.8114130794683447
1,0,hierarchical_quicknat_KORA_v1,KORA2459548,10,0.6013247788279482,0.26021052945228995,0.9664856119264995,0.9916591212535105,0.979072366590005,0.8212766051292419,0.9519577026367188,0.8866171836853027,0.7058938947568119,0.8971586744190534,0.8015262845879326,0.9262192688567438,0.9222954995751527,0.9242573842159483,0.8160565818067778,0.909727086997103,0.8628918344019403
1,0,hierarchical_quicknat_KORA_v1,KORA2462150,10,0.2598231143960341,0.19644816286945088,0.9658422978817789,0.9916873869801085,0.9787648424309436,0.8828447461128235,0.9521316885948181,0.9174882173538208,0.7162111656828685,0.8666970615194824,0.7914541136011755,0.9273654819809751,0.9192730205014559,0.9233192512412155,0.8217883238319218,0.8929850410104692,0.8573866824211955
1,0,hierarchical_quicknat_KORA_v1,KORA2461520,10,0.008018049030732534,0.27350748156963667,0.9700546885420835,0.9925966922776404,0.981325690409862,0.8266914486885071,0.9354786276817322,0.8810850381851196,0.6974928437845054,0.8583878495130972,0.7779403466488013,0.7503203521535533,0.8365540794510703,0.7934372158023117,0.7239065979690293,0.8474709644820837,0.7856887812255565
1,0,hierarchical_quicknat_KORA_v1,KORA2459807,10,0.03750728956065506,0.41860983546214425,0.9837071755384443,0.9937082289055973,0.9887077022220208,0.6330761313438416,0.9501504898071289,0.7916133403778076,0.7838811814471603,0.9507807027751022,0.8673309421111313,0.5476762709171176,0.9565455108744629,0.7521108908957903,0.665778726182139,0.9536631068247825,0.8097209165034607
1,0,hierarchical_quicknat_KORA_v1,KORA2462374,10,0.37608430633806367,0.22279543450996664,0.9465968586387434,0.9955488229508432,0.9710728407947933,0.8564152717590332,0.9519203901290894,0.9041678309440613,0.7357681831202533,0.954998711381861,0.8453834472510571,0.901158715633936,0.934262966608333,0.9177108411211345,0.8184634493770946,0.944630838995097,0.8815471441860958
1,0,hierarchical_quicknat_KORA_v1,KORA2458040,10,0.00013102102283333444,0.19770958728259103,0.9857366771159874,0.9923859077351173,0.9890612924255524,0.9028961062431335,0.9345831274986267,0.9187396168708801,0.8816692535044239,0.877329286206355,0.8794992698553894,0.9798473256613064,0.847414926916099,0.9136311262887027,0.9307582895828652,0.862372106561227,0.8965651980720462
1,0,hierarchical_quicknat_KORA_v1,KORA2456661,10,0.356461836512486,0.26010460882050646,0.9525701073101323,0.9923422497211681,0.9724561785156502,0.8091733455657959,0.9591249823570251,0.8841491937637329,0.5917801306679317,0.9350140713968138,0.7633971010323728,0.9471643095574815,0.9542685413444121,0.9507164254509468,0.7694722201127067,0.9446413063706129,0.8570567632416597
1,0,hierarchical_quicknat_KORA_v1,KORA2452659,10,0.04507107293460537,0.2624857795195755,0.9625193199381762,0.9906537090269549,0.9765865144825656,0.8200262784957886,0.9498904347419739,0.8849583864212036,0.5868202506063912,0.8498448745181594,0.7183325625622753,0.8770139450782655,0.9109194061427051,0.8939666756104853,0.7319170978423284,0.8803821403304322,0.8061496190863803
