volume_id,seg_liver,seg_spleen
1004466_20201_2_0,1193112,181488
1002359_20201_2_0,635820,51648
1005379_20201_2_0,852804,46512
1013250_20201_2_0,925092,87852
1942395_20201_2_0,765912,72672
1019631_20201_2_0,769860,82008
1013391_20201_2_0,1184580,293280
