,dataset,model_name,volume_id,samples,sncc,ged,iou_spleen,iou_liver,iou_mean,dice_spleen,dice_liver,dice_mean,surface_distance_prtogt_spleen,surface_distance_prtogt_liver,surface_distance_prtogt_mean,surface_distance_gttopr_spleen,surface_distance_gttopr_liver,surface_distance_gttopr_mean,surface_distance_avg_spleen,surface_distance_avg_liver,surface_distance_avg_mean,target_scan_file
27,2,MC_dropout_quicknat_UKB_v2,1007659_20201_2_0,10,,,0.799866577718479,0.8342198948544935,0.8170432362864863,,,,,,,,,,,,,Dixon_BH_17s_opp_Dixon_BH_17s.nii.gz
28,2,MC_dropout_quicknat_UKB_v2,1007864_20201_2_0,10,,,0.5323158959271858,0.7417140238313474,0.6370149598792666,,,,,,,,,,,,,Dixon_BH_17s_opp_Dixon_BH_17sb.nii.gz
29,2,MC_dropout_quicknat_UKB_v2,1008067_20201_2_0,10,,,0.515227969003424,0.7048127107885254,0.6100203398959747,,,,,,,,,,,,,Dixon_BH_17s_opp_Dixon_BH_17s.nii.gz
30,2,MC_dropout_quicknat_UKB_v2,1008067_20201_2_0,10,,,0.4529294653014789,0.6199381607819668,0.5364338130417229,,,,,,,,,,,,,Dixon_BH_17s_opp_Dixon_BH_17sb.nii.gz
31,2,MC_dropout_quicknat_UKB_v2,1008133_20201_2_0,10,,,0.6428881807647739,0.7848340883820516,0.7138611345734128,,,,,,,,,,,,,Dixon_BH_17s_opp_Dixon_BH_17s.nii.gz
32,2,MC_dropout_quicknat_UKB_v2,1008133_20201_2_0,10,,,0.6915350406379389,0.8219972934393712,0.7567661670386551,,,,,,,,,,,,,Dixon_BH_17s_opp_Dixon_BH_17sb.nii.gz
33,2,MC_dropout_quicknat_UKB_v2,1008283_20201_2_0,10,,,0.723452157598499,0.8335783299319243,0.7785152437652116,,,,,,,,,,,,,Dixon_BH_17s_opp_Dixon_BH_17sa.nii.gz
34,2,MC_dropout_quicknat_UKB_v2,1008312_20201_2_0,10,,,0.7741070724591973,0.7476637935501701,0.7608854330046837,,,,,,,,,,,,,Dixon_BH_17s_opp_Dixon_BH_17sb.nii.gz
35,2,MC_dropout_quicknat_UKB_v2,1008800_20201_2_0,10,,,0.7787864309603441,0.7988449396071502,0.7888156852837471,,,,,,,,,,,,,Dixon_BH_17s_opp_Dixon_BH_17sb.nii.gz
36,2,MC_dropout_quicknat_UKB_v2,1009220_20201_2_0,10,,,0.7806974858069748,0.8880340584653478,0.8343657721361613,,,,,,,,,,,,,Dixon_BH_17s_opp_Dixon_BH_17sa.nii.gz
